lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
hasown@2.0.2	hasown	2.0.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
hono@4.12.12	hono	4.12.12	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
http-errors@2.0.1	http-errors	2.0.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
iconv-lite@0.7.2	iconv-lite	0.7.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
ieee754@1.2.1	ieee754	1.2.1	false	1	better-sqlite3	runtime	replace-through-runtime-owner
ignore@7.0.5	ignore	7.0.5	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
inherits@2.0.4	inherits	2.0.4	false	2	@modelcontextprotocol/sdk,better-sqlite3	runtime	replace-through-runtime-owner
ini@1.3.8	ini	1.3.8	false	2	better-sqlite3,node-llama-cpp	runtime	replace-through-runtime-owner
ip-address@10.1.0	ip-address	10.1.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
ipaddr.js@1.9.1	ipaddr.js	1.9.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
ipull@3.9.5	ipull	3.9.5	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
is-extglob@2.1.1	is-extglob	2.1.1	false	1	fast-glob	runtime	replace-through-runtime-owner
is-fullwidth-code-point@3.0.0	is-fullwidth-code-point	3.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
is-fullwidth-code-point@5.1.0	is-fullwidth-code-point	5.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
is-glob@4.0.3	is-glob	4.0.3	false	1	fast-glob	runtime	replace-through-runtime-owner
is-interactive@2.0.0	is-interactive	2.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
is-number@7.0.0	is-number	7.0.0	false	1	fast-glob	runtime	replace-through-runtime-owner
is-promise@4.0.0	is-promise	4.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
is-unicode-supported@2.1.0	is-unicode-supported	2.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
